profession	name	skill	source
leatherworking	Comfortable Leather Hat	175	Pattern drops in Sunken Temple, Scarlet Monastery and Tanaris and 15 more
leatherworking	Big Voodoo Mask	195	Pattern drops in Feralas, Stranglethorn Vale and The Hinterlands and 26 more
leatherworking	Wild Leather Helmet	200	Pattern: reward of the quest Wild Leather Helmet (level 45, Alliance) or 1 other
leatherworking	Tough Scorpid Helm	225	Pattern drops from Wastewander Assassin, Tanaris; Andre Firebeard, Tanaris
leatherworking	Charged Scorpid Helm	240	Pattern: nobody has found it in the beta yet
leatherworking	Wicked Leather Headband	255	Pattern drops from Jadefire Trickster, Felwood
leatherworking	Supple Scorpid Helm	260	Pattern: nobody has found it in the beta yet
leatherworking	Runic Leather Headband	265	Pattern sold by Jase Farlane, Eastern Plaguelands
leatherworking	Tooled Leather Crown	265	Pattern: nobody has found it in the beta yet
leatherworking	Heavy Scorpid Helm	270	Pattern sold by Zannok Hidepiercer, Silithus
leatherworking	Blue Suede Hat	280	Pattern: nobody has found it in the beta yet
leatherworking	Helm of the Great Chief	290	Pattern drops in Ruins of Ahn'Qiraj, Molten Core and Stratholme and 4 more
leatherworking	Black Dragonscale Helm	300	Pattern: nobody has found it in the beta yet
leatherworking	Blue Dragonscale Helm	300	Pattern: nobody has found it in the beta yet
leatherworking	Living Crown	300	Pattern: nobody has found it in the beta yet
leatherworking	Molten Helm	300	Pattern sold by Lokhtos Darkbargainer, Blackrock Depths
leatherworking	Outlaw's Collar	300	Pattern: nobody has found it in the beta yet
leatherworking	Warbear Helm	300	Pattern: nobody has found it in the beta yet
leatherworking	Azure Gustwoven Hood	175	Pattern sold by Archmage Alvareaux, Alterac Mountains
leatherworking	Azure Windraveled Cover	175	Pattern sold by Archmage Alvareaux, Alterac Mountains
leatherworking	Cloudy Gustwoven Hood	175	Pattern sold by Sutara Plainstalker, Mulgore (Horde)
leatherworking	Cloudy Windraveled Cover	175	Pattern sold by Sutara Plainstalker, Mulgore (Horde)
leatherworking	Tanning Rack	140	Blueprint
leatherworking	Sewing Machine	300	Blueprint
blacksmithing	Edge of Winter	165	Plans drops in Redridge Mountains
blacksmithing	Iron Morningstar	165	Plans sold by Gorhak, Desolace
blacksmithing	Mithril Shortsword	180	Plans: nobody has found it in the beta yet
blacksmithing	Mithril Claws	195	Plans: nobody has found it in the beta yet
blacksmithing	Mithril Stiletto	210	Plans: nobody has found it in the beta yet
blacksmithing	Ebon Shiv	230	Plans sold by Magnus Frostwake, Western Plaguelands
blacksmithing	Dawn's Edge	250	Plans: reward of the quest Snakestone of the Shadow Huntress (level 60)
blacksmithing	Ornate Thorium Handaxe	250	Plans sold by Magnus Frostwake, Western Plaguelands
blacksmithing	Thorium Cestus	250	Plans sold by Pexmit, Mount Hyjal
blacksmithing	Blazing Rapier	255	Plans: reward of the quest Corruption (level 60)
blacksmithing	Serenity	260	Plans found in Blacksmithing Plans, Stratholme
blacksmithing	Volcanic Hammer	265	Plans drops from Volchan, Burning Steppes
blacksmithing	Bold Dirk	270	Plans sold by Pexmit, Mount Hyjal
blacksmithing	Bagh Nakh	300	Plans: nobody has found it in the beta yet
tailoring	Earthen Silk Hood	150	Pattern: nobody has found it in the beta yet
tailoring	Azure Stormsewn Cowl	175	Pattern sold by Archmage Alvareaux, Alterac Mountains
tailoring	Cloudy Stormsewn Cowl	175	Pattern sold by Sutara Plainstalker, Mulgore (Horde)
tailoring	Stormcloth Headband	200	Pattern: nobody has found it in the beta yet
tailoring	Earthenweave Crown	260	Pattern: nobody has found it in the beta yet
tailoring	Ghostweave Hood	260	Pattern: nobody has found it in the beta yet
tailoring	Sylvan Crown	300	Pattern sold by Mishta, Silithus
tailoring	Filigreed Flame Circlet	125	Pattern: nobody has found it in the beta yet
tailoring	Filigreed Pearly Circlet	125	Pattern: nobody has found it in the beta yet
tailoring	Filigreed Pristine Circlet	125	Pattern: nobody has found it in the beta yet
tailoring	Filigreed Shadow Circlet	125	Pattern: nobody has found it in the beta yet
tailoring	Filigreed Shining Circlet	125	Pattern: nobody has found it in the beta yet
